,COMPOUND_NAME,SACRI_PERIOD,DOSE_LEVEL,RBC(x10_4/ul),Hb(g/dL),Ht(%),MCV(fL),MCH(pg),MCHC(%),Ret(%),Plat(x10_4/uL),WBC(x10_2/uL),Neu(%),Eos(%),Bas(%),Mono(%),Lym(%),PT(s),APTT(s),Fbg(mg/dL),ALP(IU/L),TC(mg/dL),TG(mg/dL),PL(mg/dL),TBIL(mg/dL),DBIL(mg/dL),GLC(mg/dL),BUN(mg/dL),CRE(mg/dL),Na(meq/L),K(meq/L),Cl(meq/L),Ca(mg/dL),IP(mg/dL),TP(g/dL),RALB(g/dL),A/G,AST(IU/L),ALT(IU/L),LDH(IU/L),GTP(IU/L)
8887,ketoconazole,15 day,Low,531.55206,11.038225,34.15065,68.644295,21.740923,42.373096,31.92427,182.03894,371.7763,40.57279,1.6606548,1.0422286,31.385933,44.668617,31.845219,40.049026,301.302,2800.8755,233.12057,552.43866,427.64355,4.265813,3.4907176,226.34753,72.86989,0.6085433,135.76556,5.011886,103.22187,11.233536,9.59212,5.653676,3.9366026,1.9907752,1049.9924,231.42114,744.279,20.538136
8888,omeprazole,15 day,High,571.2165,10.102325,33.81518,66.96342,22.26907,40.695198,28.067335,190.79703,301.2738,42.353558,2.2681055,1.0252184,24.926819,49.76232,33.126446,46.162357,409.45456,2653.2283,322.88403,451.52216,541.07477,3.4099379,3.3650103,253.85284,98.882,0.8212921,138.5381,5.28419,103.84917,10.502315,9.855945,5.56532,3.2856479,1.9096504,909.88293,249.30086,967.8167,19.167984
8889,carboplatin,8 day,Low,805.5952,9.4330845,45.726658,62.33995,22.415102,38.680305,15.310241,122.59371,131.20433,55.614918,2.0202694,0.69776726,15.445607,48.027794,21.868828,30.950317,664.27234,1977.1097,320.03665,390.8786,340.41336,0.76556647,1.6567589,301.39816,111.064644,0.8668002,139.69365,4.8098693,109.585655,8.8786125,6.521503,6.2302823,2.992639,1.5881712,624.9853,235.74475,885.0354,10.38175
8890,pemoline,8 day,Low,763.1379,9.447156,43.710068,62.682934,22.547297,38.792267,17.484537,136.01108,152.68536,54.314503,2.1935728,0.7495707,16.587605,49.27793,23.572552,34.08923,631.2397,2093.6594,330.982,403.60297,381.61783,1.0152936,1.843451,297.25165,113.478645,0.86722136,139.68614,4.9340405,108.80611,9.101429,7.1100187,6.1042814,2.9597464,1.6323338,657.81525,237.08011,916.2302,11.692274
8891,thioacetamide,8 day,Middle,811.51276,9.429055,46.088917,62.140213,22.430984,38.565994,14.866541,119.44855,126.05262,55.953327,1.9814054,0.6942414,15.242137,48.184162,21.506227,30.392553,671.6805,1959.3114,318.03406,386.6297,332.0352,0.7283098,1.6243128,300.83594,110.65067,0.8666228,139.67284,4.803049,109.70444,8.838162,6.4380875,6.239722,2.9911938,1.586528,621.9473,232.96053,877.5101,10.225519
8892,griseofulvin,29 day,Middle,573.61914,10.027137,33.812965,66.89511,22.344978,40.602493,27.808912,191.12263,296.73157,42.423634,2.2897449,1.0236202,24.68316,50.290916,33.12935,46.654976,414.6153,2646.0464,327.06778,445.9023,545.847,3.3506734,3.3416555,255.30127,100.47168,0.82711065,138.74908,5.294646,103.88685,10.452446,9.863481,5.5495286,3.2409613,1.9021145,906.0293,251.3778,976.818,19.077873
8893,monocrotaline,8 day,Middle,576.6001,9.97582,33.819813,66.74645,22.375092,40.55108,27.741621,190.63223,292.81958,42.804695,2.3252404,1.0202202,24.344366,50.48698,33.111565,47.06086,417.40503,2635.9856,331.21384,440.39627,548.8996,3.3091562,3.3365047,257.55795,102.17444,0.8319491,138.89166,5.2999434,103.927956,10.426052,9.835912,5.5481663,3.2094984,1.8964344,903.71277,253.3088,986.64355,19.016537
8894,tiopronin,8 day,Low,804.2956,9.466301,45.698746,62.23963,22.40552,38.70342,15.20408,123.36739,131.78236,55.852962,2.0189404,0.7013655,15.41989,48.157845,21.868797,31.00108,665.39575,1977.8599,319.0678,392.12332,340.75616,0.76984,1.6664795,299.94077,111.227356,0.8646801,139.672,4.818353,109.5318,8.880799,6.565831,6.2201457,2.9846776,1.5971808,633.1662,234.41966,886.13556,10.407622
8895,terbinafine,29 day,High,569.40155,10.228432,34.04836,67.23321,22.23285,40.920784,28.295193,190.56873,308.7057,41.79681,2.196436,1.0280226,25.52253,49.27895,33.062637,45.609123,400.7501,2650.869,312.87347,460.50784,532.07416,3.500194,3.3646472,250.60184,96.198235,0.80737615,138.29866,5.245452,103.729385,10.569832,9.856772,5.5710535,3.3468983,1.9218947,923.95996,248.62912,949.59,19.29747
8896,cimetidine,29 day,Low,700.04596,9.384327,40.644756,63.250156,22.668476,38.915237,20.878647,156.6605,186.51236,52.838413,2.456571,0.81861037,18.537962,50.71241,26.488285,39.37204,570.7296,2257.2048,347.37512,416.71173,450.2558,1.4771669,2.1130974,293.54288,115.9404,0.8580169,139.59465,5.1103497,107.57131,9.418751,8.030501,5.956278,2.9165332,1.6822861,702.9111,244.86053,976.6607,13.682041
8897,caffeine,15 day,Low,732.82404,9.425979,42.35854,62.92208,22.618181,38.801743,19.122784,145.4942,166.32303,53.74264,2.3154318,0.77774835,17.536154,50.008316,25.013882,36.531757,603.2216,2172.2522,338.03552,408.4577,412.9399,1.2149155,1.9660372,294.7922,114.449066,0.8649086,139.6505,5.011974,108.20366,9.238859,7.495047,6.030654,2.941169,1.657171,678.91113,241.78577,949.0081,12.549496
8898,diclofenac,8 day,Low,665.5309,9.296118,38.73326,63.412773,22.748392,38.98299,22.955383,167.77141,205.51749,52.037075,2.605432,0.86235225,19.55963,51.424114,28.121225,42.284863,536.5562,2322.378,356.1944,423.2563,485.97485,1.7712481,2.279773,290.67844,117.40214,0.8593344,139.49059,5.210391,106.92546,9.607616,8.5383415,5.8622723,2.891957,1.7084805,724.50574,248.69945,1002.3296,14.859205
8899,allyl alcohol,15 day,Low,812.82684,9.457244,46.163643,62.10578,22.45269,38.502533,14.938232,118.303825,126.157845,56.11756,1.9734321,0.68438804,15.310113,48.087624,21.400723,30.325876,671.94324,1956.5962,318.43536,385.23727,330.135,0.72402686,1.6226493,301.61752,111.02069,0.86645305,139.68808,4.792295,109.72892,8.816161,6.4229083,6.2348785,2.9951127,1.5869291,621.69025,232.728,879.4898,10.190876
8900,WY-14643,15 day,Middle,623.9451,9.154748,36.553574,64.161896,22.83588,39.266163,24.572361,181.77708,222.95892,50.304264,2.7579772,0.8972342,20.325396,52.65146,30.149067,45.656723,500.81085,2406.0144,364.0783,421.83694,543.0851,2.1709824,2.444842,285.84918,120.70995,0.8663596,139.62834,5.356228,105.87651,9.773085,9.183073,5.7575936,2.8964293,1.7663428,764.30743,252.1976,1027.6152,16.45026
8901,chlorpropamide,29 day,Low,713.4197,9.366909,41.20014,63.155113,22.63757,38.85334,20.226797,152.46492,179.24673,53.209625,2.4025776,0.8045354,18.128428,50.53939,25.929398,38.374516,582.348,2223.835,345.00613,412.163,435.19104,1.3761898,2.075048,294.82523,115.83004,0.85768646,139.66272,5.083705,107.76281,9.353034,7.8412867,5.980851,2.922163,1.6701992,698.93835,243.55815,961.4839,13.309951
8902,dantrolene,15 day,High,636.6421,9.140025,36.830456,63.900192,22.784649,39.0871,24.31123,179.79785,219.0261,51.002083,2.7422457,0.8870649,20.2031,52.514595,29.583046,44.849777,508.81067,2376.666,363.6329,425.3908,531.22217,2.0734723,2.4106965,286.1413,119.80438,0.8672199,139.54149,5.3483305,106.11798,9.735882,9.044434,5.7916656,2.8904667,1.7633466,752.57166,249.45331,1020.7881,16.162138
8903,fenofibrate,15 day,High,582.4556,9.810936,33.83122,66.47143,22.470392,40.32021,27.087486,191.55598,282.04712,43.145542,2.3854027,1.0187597,23.676807,51.340176,33.028988,48.092678,431.23776,2631.2585,341.41562,424.823,560.6877,3.175488,3.299104,259.6622,105.76563,0.8519402,139.3193,5.3536305,103.969505,10.318751,9.881159,5.5319867,3.1191945,1.8809246,888.61804,257.31766,1003.76556,18.83678
8904,amiodarone,15 day,High,536.4044,11.001716,34.18947,68.554016,21.771875,42.328976,31.783184,182.96634,367.9077,40.81201,1.6886275,1.0382661,31.094204,44.964104,31.870289,40.47013,306.91852,2784.8635,237.40483,545.6601,434.9811,4.218126,3.4812038,227.95624,74.19698,0.6196263,135.91917,5.013004,103.233284,11.199002,9.589807,5.6517754,3.904089,1.9893006,1046.7178,233.56964,758.431,20.48209
8905,penicillamine,8 day,High,794.9958,9.498503,45.19737,62.41455,22.42798,38.672874,15.881301,125.09376,135.94145,55.430992,2.0636432,0.70592505,15.727937,48.483337,22.27598,31.675303,657.76886,2004.5942,322.94565,391.704,350.9552,0.829121,1.7091544,300.36108,111.87064,0.8677373,139.69469,4.8434725,109.3087,8.914488,6.661503,6.1921654,2.987831,1.608037,633.97626,234.58804,895.55566,10.677585
8906,dantrolene,15 day,Low,614.24835,9.166847,35.578045,64.305046,22.87342,39.14193,25.602606,185.69058,229.48683,49.550224,2.8068595,0.90494084,20.873484,53.226917,30.56049,46.816425,486.68472,2458.9966,367.56662,423.82098,559.62756,2.3014436,2.5183156,282.54233,121.3711,0.8711813,139.5641,5.4252415,105.71234,9.820959,9.37741,5.726589,2.8768654,1.7862793,773.2759,254.45352,1046.7683,16.89192
8907,allopurinol,8 day,Middle,785.7526,9.462275,44.808727,62.44718,22.471395,38.725853,16.262444,129.73756,140.70456,55.15591,2.0965455,0.72198534,15.971054,48.73453,22.719683,32.389843,650.4527,2033.0643,325.22003,395.78506,358.93927,0.87428033,1.7502977,298.8479,112.10582,0.86699975,139.65813,4.870856,109.179016,8.975296,6.7950616,6.1574817,2.9747374,1.6169978,644.7355,235.1446,905.8137,10.983469
8908,diltiazem,8 day,Middle,549.48566,10.59853,34.150433,68.05499,22.017786,41.5999,30.151606,185.24475,345.00015,41.265194,1.9097289,1.0240631,28.799719,46.981472,32.531788,42.414963,348.37607,2723.9976,268.59567,510.2405,476.56723,3.9046137,3.430643,238.52844,83.60461,0.7005563,137.0008,5.1173897,103.44632,10.934122,9.709861,5.6222973,3.6583424,1.9614571,995.4884,240.0849,843.4009,19.951122
8909,bucetin,8 day,Low,698.353,9.338013,40.536705,63.126698,22.69186,38.86859,21.067366,156.27605,186.39395,52.800247,2.4731255,0.82175344,18.57822,50.744247,26.49927,39.53383,568.3121,2253.7427,346.46512,415.11472,450.347,1.4840091,2.1121695,292.58768,115.97984,0.8632878,139.58778,5.1263614,107.502205,9.419467,8.049196,5.944932,2.907844,1.6883322,701.47144,244.95647,978.4558,13.72083
8910,triazolam,8 day,Low,572.1424,10.058483,33.870384,66.9877,22.302458,40.616306,27.897152,191.25807,299.34805,42.358276,2.2674124,1.0257436,24.810137,50.07277,33.20224,46.392532,411.8397,2646.5898,323.77682,449.2415,542.71686,3.3759434,3.348647,253.89178,99.65054,0.8255801,138.61649,5.290595,103.86348,10.484626,9.875464,5.551601,3.2709076,1.908616,908.3581,250.74835,968.39355,19.161474
8911,puromycin aminonucleoside,8 day,High,582.9894,9.515027,33.804634,66.14562,22.661392,39.94499,26.957663,190.51776,271.37973,44.182255,2.4811106,0.9994883,22.933208,51.94717,32.828228,49.02028,436.01257,2615.9026,351.74088,413.49106,566.59064,3.056175,3.2169514,265.51962,110.426796,0.8599116,139.54568,5.4315376,104.19265,10.214342,9.824537,5.5590596,3.0436587,1.8651652,873.8189,259.7933,1031.5087,18.813871
8912,acetazolamide,8 day,High,794.20654,9.481035,45.110603,62.270737,22.45131,38.698322,15.807403,125.642975,136.76105,55.494766,2.0764995,0.7076708,15.681534,48.42029,22.239365,31.719875,658.2154,1999.5546,322.83163,395.4135,350.07687,0.8170697,1.7011507,299.0997,112.59038,0.86612165,139.65399,4.849622,109.34717,8.922923,6.669418,6.18692,2.980001,1.5968229,636.86395,235.1387,887.8118,10.704161
8913,monocrotaline,15 day,Low,573.7596,10.050366,33.938644,66.875916,22.37165,40.558594,27.714865,191.16698,294.6128,42.49498,2.3088348,1.0227337,24.41436,50.468132,33.181343,46.899548,417.8194,2636.334,329.47754,443.9478,548.3962,3.3159256,3.3395245,256.13113,101.52182,0.83268756,138.82097,5.3053503,103.89111,10.435546,9.893085,5.5538707,3.2220325,1.8976946,903.3971,252.77357,980.41223,19.00433
8914,acetaminophen,8 day,High,781.25696,9.461543,44.610096,62.510162,22.484024,38.788532,16.391197,130.59215,143.11226,55.058357,2.1286612,0.7276561,16.11926,48.948467,22.783348,32.734303,647.2869,2054.6235,325.84213,397.52148,364.84348,0.8984932,1.7596222,298.76376,112.26765,0.86539656,139.75833,4.877098,109.085144,8.99459,6.851979,6.1550703,2.9682293,1.6190876,647.21936,235.69403,904.5355,11.057161
8915,tiopronin,15 day,Middle,807.9543,9.45305,45.811047,62.26337,22.419466,38.691208,15.058498,122.64975,128.9009,55.861713,2.0039601,0.6963721,15.398195,48.2762,21.715128,30.852404,669.6794,1981.3473,317.61124,391.66037,338.36725,0.74796826,1.6549137,299.8112,110.351006,0.86573076,139.70615,4.810481,109.63852,8.86196,6.492495,6.2326474,2.9821916,1.5992526,627.3765,233.78226,884.9476,10.301239
8916,flutamide,29 day,Middle,720.1811,9.373378,41.47446,63.09698,22.615915,38.865185,19.922691,151.18378,177.64246,53.141483,2.394461,0.8014427,17.949429,50.311726,25.663992,37.91905,587.9399,2209.228,343.03967,413.27997,428.37387,1.3268456,2.052302,294.7728,115.27875,0.8632793,139.6504,5.071288,107.92398,9.3238325,7.743801,5.9883847,2.916973,1.6734025,691.329,242.64832,959.0734,13.078891
8917,ethambutol,8 day,High,710.8303,9.405975,41.177692,63.165703,22.63533,38.813866,20.388237,153.05347,179.65747,53.025978,2.404968,0.80688274,18.23932,50.4757,25.972559,38.466446,581.1293,2234.7583,344.52158,413.22174,438.6859,1.3888035,2.065309,293.39624,115.44013,0.8591212,139.60233,5.0913806,107.75408,9.353771,7.8811526,5.966229,2.91406,1.6761409,699.50714,243.75963,964.2079,13.388149
8918,ibuprofen,29 day,Low,688.7925,9.339876,39.971207,63.29308,22.692965,38.811024,21.551502,160.37259,191.98466,52.472305,2.49468,0.8319231,18.827442,50.968487,27.093893,40.237988,560.172,2274.3643,351.52408,418.17392,458.72595,1.571943,2.1832302,292.81296,116.31474,0.8559517,139.54478,5.1446266,107.43992,9.478257,8.201188,5.9130177,2.8987124,1.6930456,710.5056,245.89389,986.15814,14.1007395
8919,moxisylyte,15 day,Low,582.7388,9.277686,33.627857,65.75178,22.80123,39.39864,26.707949,189.45628,258.60742,45.36863,2.6126916,0.9770971,22.173769,52.572807,32.657505,49.556244,444.71185,2601.926,362.12637,405.91147,577.89716,2.9177058,3.0808966,271.8279,115.51689,0.8787323,139.76428,5.494606,104.50222,10.125429,9.811191,5.603623,2.9484007,1.8523599,841.2911,260.80093,1050.1213,18.77192
8920,aspirin,29 day,Middle,778.57916,9.443975,44.427982,62.607407,22.511625,38.77717,16.659067,131.49605,144.22975,54.83279,2.1380744,0.728838,16.13574,48.783962,23.056892,32.9503,643.70886,2053.744,328.46603,398.49918,369.04245,0.92179,1.7814317,299.45178,112.67522,0.8657679,139.75705,4.88161,109.03984,9.017169,6.8990927,6.1451116,2.9784703,1.6152272,651.046,236.7236,907.6964,11.198843
8921,caffeine,8 day,Middle,735.79987,9.422281,42.37387,62.962357,22.605923,38.82886,18.884771,144.38785,166.30115,53.601894,2.297625,0.77413464,17.327951,49.765007,24.87359,36.11395,606.9998,2162.9854,339.93652,406.17087,409.88373,1.1880103,1.9593457,297.0149,114.78813,0.85848033,139.69125,5.004943,108.284225,9.225796,7.480692,6.030848,2.9432628,1.6501431,678.83875,240.98291,943.4296,12.475056
8922,colchicine,8 day,Middle,555.4262,10.534933,34.10756,67.845985,22.044899,41.450417,29.707275,187.38504,336.5211,41.245037,1.9840345,1.032314,28.045404,47.582687,32.621075,43.340046,361.20935,2705.2388,280.57986,497.95987,490.56863,3.8101723,3.4234562,241.39839,86.66035,0.72844076,137.30893,5.157178,103.53492,10.843385,9.762812,5.6086597,3.581963,1.9493511,975.0014,242.53362,866.6351,19.814085
8923,rotenone,8 day,High,554.4845,10.618435,34.144882,67.81616,22.004307,41.569828,30.033781,186.39386,339.38895,41.502144,1.9460812,1.0383297,28.50865,47.11857,32.387005,43.176765,353.28375,2730.6357,275.58463,503.51657,483.02057,3.862385,3.4390063,239.11557,84.773,0.71350783,137.10635,5.157047,103.578316,10.877111,9.763415,5.6145887,3.61841,1.9549104,982.5688,241.98305,855.0694,19.82577
8924,pemoline,15 day,Middle,762.17126,9.414581,43.540096,62.629776,22.543129,38.838768,17.63811,138.1816,154.15895,54.41954,2.2188728,0.7511667,16.761524,49.445847,23.84612,34.634945,628.2641,2089.6948,331.4223,404.05182,383.93253,1.0283852,1.8580208,296.84207,113.79011,0.8658034,139.62286,4.9379053,108.710815,9.10731,7.1151767,6.084532,2.9493706,1.6413311,661.6965,238.42595,927.3949,11.760687
8925,chlormezanone,29 day,Low,682.65283,9.343066,39.761185,63.168304,22.699509,38.88828,21.872673,161.80516,194.2102,52.659496,2.5249848,0.83607286,19.033064,51.066414,27.221127,40.768085,554.12885,2286.4844,350.4981,419.7789,465.91415,1.6104662,2.1882825,291.81622,116.421165,0.85704607,139.55519,5.162428,107.19432,9.498104,8.306237,5.9105186,2.8945258,1.700376,714.7641,245.79797,986.86554,14.241917
8926,perhexiline,29 day,Middle,576.21484,9.950431,33.783222,66.82026,22.382196,40.505062,27.561722,191.49689,292.21994,42.575413,2.307393,1.0228584,24.29423,50.628815,33.257767,47.09995,421.03827,2629.898,331.2764,440.65744,549.77783,3.2937953,3.328178,256.80206,102.30074,0.8358066,138.87329,5.3154793,103.93664,10.413182,9.854342,5.5375943,3.2166226,1.8983666,901.8222,253.11946,986.09344,19.039728
8927,puromycin aminonucleoside,8 day,High,582.7307,9.548619,33.74393,66.14351,22.627728,39.86064,26.9173,190.89258,271.95462,44.171932,2.497261,0.99767613,22.854208,51.9522,32.97989,48.95666,433.64456,2616.706,352.82162,415.8572,569.0281,3.0483792,3.2131822,265.9218,110.03333,0.86208797,139.53387,5.4363666,104.19432,10.23336,9.880729,5.5636897,3.0370767,1.8632995,869.7316,259.76593,1024.122,18.792128
8928,hexachlorobenzene,8 day,Low,758.5659,9.446902,43.584194,62.77247,22.502718,38.753178,17.583673,137.40828,153.64987,54.354362,2.1966534,0.7544166,16.727985,49.38726,23.924007,34.369724,628.2244,2112.6804,332.05548,400.81195,385.4974,1.0465157,1.871871,297.57828,113.28128,0.86431056,139.66216,4.927727,108.6902,9.123491,7.123075,6.0915475,2.9579496,1.6415356,660.4612,238.0729,923.97894,11.797886
8929,ketoconazole,15 day,High,533.97076,11.039173,34.164112,68.67029,21.774935,42.33483,31.887333,182.91481,371.78726,40.5701,1.6678845,1.0386226,31.340622,44.982563,31.965107,39.975754,303.7654,2805.0657,233.28479,552.0244,426.76044,4.248904,3.475369,226.41763,72.890274,0.6087376,135.7627,5.0111513,103.24279,11.238498,9.635961,5.6668363,3.9246314,1.995861,1050.7255,232.30888,746.05786,20.558475
8930,perhexiline,15 day,Low,580.3639,9.824647,33.887882,66.54611,22.471233,40.331,27.15466,191.67438,283.8432,43.025257,2.3599439,1.0175855,23.770302,51.18843,33.1064,47.979862,429.59167,2624.496,339.05298,428.93643,559.44226,3.190658,3.3040078,258.2494,105.06367,0.84900224,139.1548,5.3666334,103.949356,10.323956,9.887941,5.53305,3.144564,1.8814062,893.2005,256.88354,1003.6685,18.895342
8931,carbon tetrachloride,8 day,Low,806.67334,9.434503,45.825058,62.294468,22.435871,38.570496,15.16175,121.39197,129.13681,55.786156,1.9889491,0.69558024,15.354689,48.26097,21.767143,30.71449,668.35236,1975.1547,319.7353,388.36386,333.7511,0.760027,1.6666318,301.7997,111.21553,0.86460966,139.69833,4.8090973,109.63596,8.85724,6.509262,6.2270875,2.9897604,1.5999199,627.19684,233.17514,881.96594,10.389175
8932,bromoethylamine,15 day,High,803.6042,9.46999,45.65992,62.313194,22.410181,38.590336,15.379024,122.13471,131.24753,55.666542,2.0130162,0.6980546,15.468444,48.205418,21.890162,31.02575,664.3672,1983.5844,321.7994,388.72632,341.2832,0.78184086,1.6806577,301.12085,110.90663,0.8660232,139.68156,4.823708,109.51397,8.885495,6.5491033,6.2262974,2.994834,1.5948,629.00055,233.58078,884.71814,10.502512
8933,propylthiouracil,8 day,High,779.7213,9.482941,44.63249,62.532253,22.52056,38.81863,16.3976,130.40895,142.37671,55.011707,2.123599,0.7243835,16.04778,49.005226,22.857887,32.766674,647.9355,2055.1333,324.63593,397.8655,363.85028,0.89118177,1.7448368,299.2069,112.947586,0.8657257,139.6985,4.8799114,109.05893,8.991946,6.8470325,6.1521454,2.9811273,1.6144295,646.2536,234.8574,901.84265,11.101205
8934,nifedipine,8 day,Middle,581.9828,9.688202,33.78763,66.35062,22.522636,40.09953,27.077097,191.0261,277.70786,43.6866,2.434521,1.0087211,23.266016,51.49227,33.051727,48.461082,431.4963,2615.9119,346.05362,422.84763,565.7305,3.1250594,3.257941,262.16504,107.42283,0.8581593,139.34872,5.3992143,104.10609,10.29201,9.871355,5.547736,3.0954099,1.8719879,878.5789,258.26123,1013.095,18.838556
8935,benziodarone,15 day,High,569.3865,10.107506,33.925323,67.06893,22.278038,40.702747,28.006863,191.12387,302.60413,42.228844,2.2404242,1.0256044,25.018965,49.74067,33.14734,46.00282,407.7393,2652.658,319.6492,453.50134,538.0986,3.4270525,3.344283,253.48637,98.50438,0.8158817,138.47977,5.281088,103.84277,10.507161,9.8635645,5.564014,3.2976685,1.9138931,911.8836,249.71138,963.6408,19.187798
8936,phenylbutazone,8 day,Low,578.3391,9.940888,33.908768,66.670105,22.427507,40.40308,27.525166,190.89462,288.48346,42.932285,2.348714,1.0164076,24.093288,50.887894,33.17013,47.551373,423.39627,2626.4077,335.29587,435.01587,555.458,3.2453995,3.3128774,258.02673,103.48282,0.84159213,139.09285,5.3228784,103.93622,10.374852,9.878613,5.5463834,3.163186,1.8894448,897.38885,255.3401,992.8339,18.92132
8937,fluphenazine,29 day,Middle,550.23267,10.64453,34.172028,68.074524,21.995205,41.656994,30.133675,186.72665,342.9748,41.25424,1.9096792,1.0349848,28.832682,46.932457,32.41184,42.635227,347.44296,2726.359,269.16913,509.62823,476.77612,3.9092393,3.4204397,237.69945,83.51674,0.7012518,136.94762,5.128442,103.472725,10.92917,9.7463,5.6232185,3.658861,1.9610374,992.2899,240.20056,839.95276,19.936352
8938,nitrofurantoin,29 day,Middle,737.4117,9.395336,42.40661,62.91155,22.568,38.77364,18.926386,145.93617,167.82555,53.886017,2.3183537,0.7764645,17.51686,49.876144,24.89567,36.460987,604.14325,2158.9495,337.7484,409.01773,411.12457,1.1959773,1.9560689,295.46744,114.30862,0.85867417,139.59622,5.0222797,108.25903,9.227417,7.5011597,6.0391197,2.9263065,1.6582184,681.4587,242.0341,944.5816,12.548449
8939,lomustine,8 day,Middle,724.91455,9.384954,41.836304,63.0612,22.59944,38.802567,19.593159,149.11111,172.50856,53.612476,2.3544269,0.792148,17.847626,50.34015,25.412024,37.38197,596.142,2197.7808,341.1444,410.0157,423.70422,1.2859524,2.0097356,294.93054,115.213104,0.8599631,139.58421,5.05662,108.05108,9.284544,7.641792,5.9931045,2.933036,1.6674261,688.66125,242.32585,949.4323,13.003981
8940,ketoconazole,29 day,Low,531.76184,11.039259,34.233837,68.654564,21.778347,42.341698,31.917908,182.30423,371.67374,40.67338,1.6733332,1.0395138,31.305916,44.72683,31.942547,40.04651,302.58313,2799.94,234.29382,551.63763,429.48416,4.2581663,3.4801183,226.76755,73.16951,0.6130649,135.79738,5.0069838,103.2549,11.234961,9.621347,5.6588516,3.9298148,1.9907466,1049.8136,231.59782,746.2652,20.595612
8941,disopyramide,15 day,Low,562.37476,10.315019,34.053646,67.41067,22.167906,41.099766,28.791002,189.34285,318.2466,41.72363,2.1332202,1.0294162,26.423775,48.735123,32.936874,44.715202,386.3432,2684.706,301.9721,470.92532,516.93933,3.6061296,3.3865197,247.2528,92.971375,0.7813513,138.00592,5.206589,103.65523,10.667984,9.822093,5.5744224,3.4248126,1.9326543,942.9012,245.73857,921.63916,19.46111
8942,indomethacin,15 day,High,569.6154,10.128461,33.860188,67.03263,22.259205,40.71993,28.078148,190.94872,303.85358,42.247704,2.2461758,1.0243222,25.11374,49.601307,33.220478,45.991005,406.2222,2652.8445,319.14587,455.51855,537.7424,3.4330015,3.349325,253.19904,97.82515,0.8150101,138.45235,5.27509,103.827324,10.526534,9.860321,5.5598545,3.297354,1.9126835,913.69586,249.73503,960.06494,19.198092
8943,methylene dianiline,15 day,High,693.4189,9.336984,40.274246,63.27369,22.697382,38.92434,21.266684,159.45595,187.36537,52.710148,2.4915996,0.82437176,18.692759,50.99303,26.90275,39.939644,565.8512,2262.2158,348.84058,417.80533,455.96704,1.5111578,2.12701,292.20303,116.19224,0.8573098,139.59305,5.126849,107.48665,9.449445,8.112834,5.927408,2.906888,1.6866562,709.5136,245.48366,976.3433,13.894973
8944,sulfasalazine,29 day,High,583.24176,9.684403,33.802193,66.33821,22.5352,40.126328,27.151657,191.45181,278.31888,43.602642,2.4355164,1.0092092,23.337532,51.630424,33.10058,48.408722,432.14783,2626.7764,345.55557,422.93655,564.43555,3.1198053,3.2748828,261.43314,106.70485,0.85734415,139.37181,5.3950777,104.066734,10.287203,9.875461,5.544118,3.087637,1.8748764,883.71326,257.6524,1011.2427,18.893755
8945,ethanol,8 day,High,816.69775,9.442332,46.298576,62.21184,22.416676,38.615612,14.63518,117.318634,124.37878,56.03654,1.9758403,0.68567395,15.233068,48.08782,21.252285,30.160038,673.4017,1949.9165,316.64767,385.5625,328.9203,0.7096042,1.6111432,301.9553,110.28787,0.8677662,139.71155,4.7840023,109.791885,8.813466,6.3611417,6.261706,2.9907598,1.585946,615.97076,233.16104,875.8492,10.036587
8946,colchicine,8 day,High,556.65125,10.437015,34.03683,67.670784,22.098248,41.333218,29.439957,187.6895,330.72964,41.529335,2.0330398,1.0296352,27.513523,47.76451,32.773067,43.776997,369.14346,2699.8882,288.3164,489.19754,498.78583,3.7513256,3.40266,244.20174,89.090256,0.7452622,137.48386,5.1704845,103.59626,10.794557,9.769142,5.6035914,3.5346198,1.941426,961.43304,243.15408,887.3487,19.739704
8947,chlormadinone,15 day,Middle,555.6701,10.486318,34.090458,67.73849,22.088467,41.372196,29.481205,187.6259,331.78497,41.38721,2.011519,1.0304159,27.670982,47.75739,32.68745,43.734333,367.38626,2704.2034,284.65338,491.61826,496.69077,3.766125,3.4052713,242.51323,88.12284,0.7390682,137.43047,5.1690025,103.59708,10.804097,9.778053,5.601925,3.5470147,1.9458665,968.29114,243.46509,879.724,19.73896
8948,coumarin,15 day,Middle,773.7946,9.439962,44.335644,62.619587,22.48477,38.849457,16.686502,132.09647,146.20268,54.80872,2.144738,0.7409844,16.235746,49.02497,23.15828,33.260235,642.7914,2074.7327,325.98254,398.30923,369.29578,0.9435759,1.7927843,298.35764,112.96267,0.8680398,139.69862,4.8972507,108.98543,9.036662,6.9178743,6.1228237,2.9819431,1.6260067,650.0235,237.59967,906.9822,11.278477
8949,allyl alcohol,29 day,Middle,810.36847,9.472978,46.09221,62.25087,22.478878,38.625946,14.87041,119.0248,126.65205,55.833237,1.9671507,0.6914637,15.197407,48.031612,21.477276,30.356445,672.08844,1948.7291,318.19092,386.88843,329.90125,0.732544,1.6343213,302.01898,111.03351,0.8674134,139.7105,4.799881,109.70653,8.829557,6.4459553,6.239587,3.0017889,1.5870302,623.97284,232.59023,878.6284,10.238801
